2,"Bathurst St / Lennox St,1898,3986"
2,"Essex St / Christie St,702,2207"
2,"Lower Jarvis St / The Esplanade,3649,7869"
2,"Salem Ave / Bloor St W,1091,3234"
2,"Ossington Ave / Harrison St,841,1998"
2,"Claremont St / Dundas St W,1494,3418"
2,"King St W / Bay St (East Side),3705,8207"
2,"Lower Sherbourne St / The Esplanade,3092,7641"
2,"Scott St / The Esplanade,4229,9461"
2,"Carlton St / Parliament St,2035,5049"
2,"Parliament St / Aberdeen Ave,1591,5093"
2,"Howard St / Sherbourne St,2747,6672"
2,"Nelson St / Duncan St,1329,12890"
2,"Queen St E / Berkely St,866,2620"
2,"Queen St E / Sackville St,747,2691"
2,"Sumach St / Carlton St. (Riverdale Farm),1131,2980"
2,"Queen St W / York St (City Hall),3376,8548"
2,"Castle Frank Station,619,1514"
2,"Jarvis St / Dundas St E,1933,4547"
2,"Richmond St E / Jarvis St Green P,3003,7221"
2,"Bay St / Davenport Rd,1166,2708"
2,"Boston Ave / Queen St E,1722,4395"
2,"Queen St E / George St (Moss Park),1430,4637"
2,"Spadina Ave / Willcocks St,1623,4793"
2,"Queen St W / Gladstone Ave,1678,5684"
2,"Jimmie Simpson Park (Queen St E),1138,3611"
2,"Seaton St / Dundas St E,1887,4287"
2,"Christie St / Benson Ave (Wychwood Barns),977,3300"
2,"Danforth Ave / Ellerbeck St,1048,3613"
2,"Bathurst St / Queens Quay W,634,8364"
2,"Summerhill Station,1401,3061"
2,"King St W / Stafford St,2438,6510"
2,"Chester Station,764,2237"
2,"80 Clinton St (North of College),1156,3430"
2,"Davenport Rd / Christie St,565,1902"
2,"Glen Edyth Dr / Davenport Rd,1035,2881"
2,"Danforth Ave / Gough Ave,750,2595"
2,"Parliament St / Bloor St E,629,1746"
2,"Davenport Rd / Avenue Rd,710,2029"
2,"Pape Subway Green P,303,936"
2,"Woodbine Subway Green P (Cedarvale Ave),157,420"
2,"Donlands Station,563,1367"
2,"Danforth Ave / Westlake Ave,131,414"
2,"Danforth Ave / Barrington Ave,218,698"
2,"Danforth Ave / Aldridge Ave,409,897"
2,"Queen St W / Portland St,7548,17295"
2,"Bathurst Subway Station,1390,3906"
2,"Ossington Ave / Bloor St W,1900,5858"
2,"Fort York  Blvd / Capreol Crt,5952,12737"
2,"Queens Quay W / Dan Leckie Way,3876,9805"
2,"Bathurst St / Fort York Blvd,4203,10424"
2,"King St W / Tecumseth St,4155,8560"
2,"University Ave / College St,4147,9474"
2,"25 York St (ACC/Union Station South),3257,7436"
2,"Queen St W / Ossington Ave,2660,6022"
2,"Queens Quay / Yonge St,1410,9893"
2,"Queens Quay W / Lower Simcoe St,5557,13703"
2,"Wellington St W / Portland St,3548,11226"
2,"Hanna Ave / Liberty St,1515,4177"
2,"East Liberty St / Pirandello St,4430,10150"
2,"Queen St W / Shaw St,2269,5440"
2,"Harbord St / Clinton St,1157,3250"
2,"Sterling Rd / Dundas St W,880,2289"
2,"Queen St W / Close Ave,1381,3867"
2,"Fort York Blvd / Garrison Rd,1700,4916"
2,"Strachan Ave / Princes' Blvd,1601,5214"
2,"Ontario Place Blvd / Remembrance Dr,2767,14565"
2,"Cherry St / Distillery Ln,1469,4091"
2,"Ulster St / Bathurst St,1172,2976"
2,"Queen St W / Cowan Ave,782,2636"
2,"Liberty St / Fraser Ave Green P,1005,3234"
2,"King St W / Douro St,1345,3498"
2,"Wellington St W / Stafford St,748,2638"
2,"Cariboo St / Rail Path,475,2102"
2,"Exhibition GO (Atlantic Ave),1092,3179"
2,"Dufferin St / Sylvan Av (Dufferin Grove Park),700,2342"
2,"Mary McCormick Rec Centre (Sheridan Ave),748,1752"
2,"Roxton Rd / Harbord St,833,2134"
2,"King St W / Fraser Ave,427,1343"
2,"King St W / Joe Shuster Way,759,3548"
2,"Bridgeman Ave / Bathurst St,390,1568"
2,"Bridgeman Ave / Kendal Ave,778,1697"
2,"Bloor St W / Dundas St W,818,2225"
2,"Lansdowne Ave / Whytock Ave,239,646"
2,"Ossington Ave / College St W,347,1166"
2,"Dufferin St / Bloor St,743,2100"
2,"Dundas St W / Edna Ave,482,1330"
2,"Macpherson Ave / Spadina Rd,1375,4043"
2,"Cherry St / Mill St,2304,5197"
2,"Mill St / Tannery Rd,1062,2752"
2,"Davenport Rd / Bathurst St,407,1328"
2,"Yarmouth Rd / Christie St,907,2917"
2,"Palmerston Ave / Vermont Ave,944,2049"
2,"14th & Irving St NW,8321,22389"
2,"17th St & Independence Ave SW,13733,30088"
2,"Vermont Ave & I St NW,3307,9961"
2,"Potomac & Swann Ave,1186,3742"
2,"4th St & Madison Dr NW,18263,37751"
2,"Mount Vernon Ave & Four Mile Run Park,435,1617"
2,"Franklin & S Washington St,1031,2476"
2,"New Jersey Ave & L St NW,1368,4401"
2,"East Falls Church Metro/Sycamore St & 19th St N,616,1350"
2,"22nd St & Constitution Ave NW,1231,8268"
2,"N Lynn St & Fairfax Dr,292,5243"
2,"1st & D St SE,3204,13741"
2,"Powhatan St & Bashford Ln,607,1456"
2,"Mount Vernon Ave & Bruce St,195,500"
2,"24th & R St NE / National Arboretum,752,2794"
2,"16th & Q St SE / Anacostia HS,151,711"
2,"Alabama & MLK Ave SE,236,555"
2,"6th & K St NE,48,7595"
2,"Wisconsin Ave & Brandywine St NW,712,2847"
2,"Library St & Freedom Dr,35,429"
2,"Benning Rd & East Capitol St NE / Benning Rd Metro,304,656"
2,"Kennebec St & 11th St N,260,1275"
2,"Radford & Osage St,243,738"
2,"Commonwealth & E Monroe Ave,596,1308"
2,"Madison & Fairfax St,171,3271"
2,"Lee Center,469,1133"
2,"Sligo Ave & Carroll Ln,37,1158"
2,"Benning Branch Library,216,501"
2,"12th St & Pennsylvania Ave SE,47,4925"
2,"Westpark & Jones Branch Dr,53,667"
2,"61st St & Banks Pl NE,19,81"
2,"Greensboro & International Dr,15,174"
2,"3rd St & Riggs Rd NE,8,592"
2,"Westpark & Park Run Dr,34,250"
2,"Reston Station,201,2302"
2,"Carlin Springs Rd & N Thomas St,16,1720"
2,"Reston Town Center Transit Station,94,1381"
2,"Solutions & Greensboro Dr,13,29"
